Source Cluster,Lat,Long,Destination Cluster
1,52.537,13.3931818182,176
1,53.537,14.3931818182,174
1,54.537,15.3931818182,70
1,55.537,16.3931818182,93
3,52.5250384615,13.369,33
3,53.5250384615,14.369,94
3,54.5250384615,15.369,99
3,55.5250384615,16.369,16
3,56.5250384615,17.369,192
3,57.5250384615,18.369,195
3,58.5250384615,19.369,113
3,59.5250384615,20.369,206
3,60.5250384615,21.369,37
5,52.4592,13.4,193
6,52.5116666667,13.3143333333,126
6,53.5116666667,14.3143333333,115
7,52.463,13.3204,198
9,52.4933636364,13.3882727273,37
10,52.4262,13.5462,139
11,52.456,13.3703333333,193
12,52.506,13.37975,199
13,52.4894,13.528,166
13,52.4894,13.528,34
15,52.47,13.3306,24
15,52.47,13.3306,10
16,52.501,13.346625,149
16,52.501,13.346625,37
16,52.501,13.346625,151
16,52.501,13.346625,19
17,52.567,13.3118,206
19,52.49975,13.351,66
20,52.5142666667,13.4756,133
20,52.5142666667,13.4756,62
20,52.5142666667,13.4756,94
20,52.5142666667,13.4756,65
20,52.5142666667,13.4756,97
20,52.5142666667,13.4756,125
21,52.5262142857,13.3872142857,181
21,52.5262142857,13.3872142857,63
21,52.5262142857,13.3872142857,86
21,52.5262142857,13.3872142857,105
22,52.5264,13.3408,184
23,52.4124,13.3622,166
24,52.4939166667,13.3309166667,175
24,52.4939166667,13.3309166667,47
24,52.4939166667,13.3309166667,131
24,52.4939166667,13.3309166667,182
24,52.4939166667,13.3309166667,3
24,52.4939166667,13.3309166667,81
24,52.4939166667,13.3309166667,118
24,52.4939166667,13.3309166667,138
24,52.4939166667,13.3309166667,56
26,52.5168571429,13.409,206
26,52.5168571429,13.409,184
26,52.5168571429,13.409,37
27,52.5103076923,13.3805384615,197
27,52.5103076923,13.3805384615,171
27,52.5103076923,13.3805384615,112
28,52.5635714286,13.3642857143,22
28,52.5635714286,13.3642857143,179
29,52.5141,13.3487,112
29,52.5141,13.3487,151
29,52.5141,13.3487,28
29,52.5141,13.3487,131
29,52.5141,13.3487,27
30,52.492,13.3718,29
31,52.495,13.335,114
31,53.495,14.335,73
32,52.514,13.412,55
33,52.5126,13.377,9
33,52.5126,13.377,77
33,53.5126,14.377,92
35,52.452,13.452,55
35,52.452,13.452,143
37,52.52032,13.3872,126
37,52.52032,13.3872,112
37,52.52032,13.3872,206
37,52.52032,13.3872,27
37,52.52032,13.3872,32
37,52.52032,13.3872,116
37,52.52032,13.3872,21
37,52.52032,13.3872,115
37,52.52032,13.3872,76
38,52.512625,13.322125,109
38,52.512625,13.322125,111
38,52.512625,13.322125,60
38,52.512625,13.322125,82
38,52.512625,13.322125,104
38,52.512625,13.322125,115
38,52.512625,13.322125,6
40,52.5536666667,13.2927777778,172
40,52.5536666667,13.2927777778,14
40,52.5536666667,13.2927777778,84
40,52.5536666667,13.2927777778,79
42,52.5415,13.544,130
43,52.5104375,13.384375,76
43,52.5104375,13.384375,197
43,52.5104375,13.384375,131
43,52.5104375,13.384375,29
43,52.5104375,13.384375,115
43,52.5104375,13.384375,138
43,52.5104375,13.384375,97
43,52.5104375,13.384375,66
43,52.5104375,13.384375,112
43,52.5104375,13.384375,151
44,52.4965,13.289,136
45,52.519,13.374,112
46,52.489625,13.345125,83
47,52.493,13.2922,193
48,52.5128571429,13.4244285714,189
48,52.5128571429,13.4244285714,147
48,52.5128571429,13.4244285714,176
50,52.5627142857,13.3267142857,101
50,52.5627142857,13.3267142857,179
51,52.461,13.5036666667,38
51,52.461,13.5036666667,139
52,52.5045,13.408,147
53,52.4828,13.32,103
55,52.5028888889,13.4468888889,155
55,52.5028888889,13.4468888889,48
55,52.5028888889,13.4468888889,97
55,52.5028888889,13.4468888889,206
55,52.5028888889,13.4468888889,116
56,52.4922857143,13.32,60
56,52.4922857143,13.32,44
58,52.502,13.3222,143
58,52.502,13.3222,134
58,52.502,13.3222,132
59,52.502,13.4173333333,197
59,52.502,13.4173333333,131
59,52.502,13.4173333333,42
60,52.511,13.3963636364,29
60,52.511,13.3963636364,175
60,52.511,13.3963636364,140
60,52.511,13.3963636364,166
61,52.494,13.354,173
62,52.5121111111,13.4891111111,47
62,52.5121111111,13.4891111111,110
62,52.5121111111,13.4891111111,55
63,52.5404285714,13.412,160
63,52.5404285714,13.412,179
63,52.5404285714,13.412,86
64,52.4485714286,13.379,116
64,52.4485714286,13.379,102
64,52.4485714286,13.379,97
66,52.5172222222,13.3768888889,149
66,52.5172222222,13.3768888889,43
67,52.523,13.434,206
67,52.523,13.434,184
67,52.523,13.434,21
67,52.523,13.434,163
67,52.523,13.434,62
68,52.5460625,13.358875,3
68,52.5460625,13.358875,172
68,52.5460625,13.358875,134
68,52.5460625,13.358875,203
68,52.5460625,13.358875,100
68,52.5460625,13.358875,37
70,52.5061666667,13.3520833333,140
70,52.5061666667,13.3520833333,3
70,52.5061666667,13.3520833333,66
70,52.5061666667,13.3520833333,134
71,52.5168,13.3944,144
71,52.5168,13.3944,187
73,52.5075,13.363,166
73,52.5075,13.363,16
73,52.5075,13.363,7
74,52.5067142857,13.3981428571,206
74,52.5067142857,13.3981428571,26
74,52.5067142857,13.3981428571,140
74,52.5067142857,13.3981428571,80
76,52.5148461538,13.4193846154,121
76,52.5148461538,13.4193846154,174
77,52.5193333333,13.4013333333,206
78,52.4886,13.2986,24
79,52.5412222222,13.2958888889,97
79,52.5412222222,13.2958888889,119
79,52.5412222222,13.2958888889,70
79,52.5412222222,13.2958888889,147
79,52.5412222222,13.2958888889,115
81,,,111
81,,,193
85,,,3
85,,,28
85,,,89
86,,,181
86,,,50
86,,,160
87,,,8
87,,,50
87,,,90
88,,,203
88,,,15
88,,,138
89,,,163
89,,,151
89,,,109
89,,,138
89,,,81
90,,,167
90,,,109
92,,,166
92,,,74
92,,,94
93,,,110
93,,,206
93,,,147
93,,,105
94,,,3
94,,,171
94,,,121
94,,,16
94,,,48
95,,,43
96,,,20
96,,,24
97,,,194
97,,,16
97,,,170
97,,,64
97,,,146
100,,,133
101,,,56
101,,,84
101,,,14
102,,,24
102,,,53
103,,,46
103,,,136
103,,,138
103,,,97
103,,,7
104,,,90
104,,,41
104,,,151
104,,,27
104,,,55
105,,,37
105,,,85
105,,,149
105,,,67
105,,,21
109,,,58
109,,,3
109,,,87
109,,,104
109,,,174
110,,,37
111,,,97
111,,,152
111,,,174
112,,,204
112,,,76
112,,,187
112,,,9
112,,,206
112,,,43
113,,,192
113,,,47
115,,,37
115,,,26
115,,,109
115,,,197
115,,,77
115,,,1
115,,,147
116,,,109
116,,,140
116,,,137
116,,,87
117,,,121
118,,,89
118,,,26
118,,,182
119,,,74
121,,,76
121,,,24
121,,,154
121,,,195
121,,,119
123,,,206
123,,,9
124,,,193
126,,,153
126,,,95
126,,,3
126,,,157
128,,,192
128,,,177
129,,,36
130,,,9
130,,,63
131,,,187
131,,,151
132,,,46
132,,,144
133,,,162
133,,,197
134,,,131
134,,,151
134,,,163
135,,,74
135,,,89
135,,,138
135,,,130
136,,,142
136,,,98
136,,,103
137,,,50
137,,,66
137,,,154
137,,,113
138,,,206
138,,,43
138,,,151
138,,,134
138,,,181
139,,,178
139,,,103
139,,,101
140,,,197
140,,,37
140,,,16
140,,,122
140,,,74
141,,,108
141,,,201
141,,,154
141,,,195
142,,,146
143,,,70
143,,,87
143,,,109
143,,,38
144,,,29
144,,,206
144,,,85
146,,,53
146,,,73
146,,,134
146,,,162
146,,,114
146,,,132
146,,,185
146,,,156
147,,,206
147,,,27
147,,,33
147,,,163
147,,,12
147,,,121
148,,,63
148,,,111
149,,,95
149,,,105
149,,,93
149,,,21
151,,,115
151,,,144
151,,,112
151,,,84
152,,,58
153,,,15
153,,,156
153,,,115
154,,,3
154,,,206
154,,,174
155,,,68
155,,,14
156,,,193
156,,,146
156,,,31
158,,,9
160,,,206
160,,,63
162,,,198
163,,,166
163,,,139
163,,,199
163,,,51
166,,,200
166,,,76
166,,,105
168,,,153
170,,,109
171,,,24
171,,,93
171,,,60
171,,,71
172,,,63
172,,,37
174,,,157
174,,,126
175,,,103
176,,,25
179,,,21
179,,,68
179,,,204
181,,,21
181,,,204
181,,,148
182,,,111
182,,,68
183,,,141
183,,,3
184,,,60
184,,,130
184,,,206
185,,,136
186,,,137
186,,,60
187,,,66
187,,,33
187,,,193
187,,,147
187,,,30
187,,,156
189,,,206
189,,,148
189,,,130
190,,,97
192,,,129
192,,,37
193,,,133
193,,,163
193,,,11
194,,,66
195,,,206
195,,,99
195,,,141
195,,,163
195,,,121
195,,,20
197,,,74
197,,,145
197,,,3
197,,,43
197,,,27
197,,,60
197,,,80
197,,,156
198,,,40
198,,,125
199,,,103
199,,,48
200,,,48
200,,,197
202,,,146
202,,,132
203,,,29
204,,,105
204,,,146
205,,,23
206,,,26
206,,,3
206,,,95
206,,,108
206,,,1
206,,,46
206,,,94
206,,,154
206,,,197
206,,,105
206,,,60
206,,,121
206,,,93
206,,,138
206,,,184
